Regiao - Sigla;Estado - Sigla;Municipio;Produto;Data da Coleta;Valor de Venda
NE;CE;ITAPIPOCA;ETANOL;03/01/22;5,979
NE;CE;ITAPIPOCA;GASOLINA ADITIVADA;03/01/22;7,119
NE;CE;MARACANAU;GASOLINA;03/01/22;6,77
NE;CE;MARACANAU;ETANOL;03/01/22;5,499
NE;CE;MARACANAU;GASOLINA ADITIVADA;03/01/22;6,97
NE;CE;MARACANAU;GASOLINA;03/01/22;6,47
NE;CE;MARACANAU;ETANOL;03/01/22;5,37
NE;CE;MARACANAU;GASOLINA;03/01/22;6,759
NE;CE;MARACANAU;ETANOL;03/01/22;5,299
NE;CE;MARACANAU;GASOLINA ADITIVADA;03/01/22;6,959
NE;CE;MARACANAU;GASOLINA;03/01/22;6,87
NE;CE;MARACANAU;ETANOL;03/01/22;5,79
NE;CE;MARACANAU;GASOLINA ADITIVADA;03/01/22;6,97
SE;ES;ARACRUZ;GASOLINA;03/01/22;6,779
SE;ES;ARACRUZ;ETANOL;03/01/22;5,799
SE;ES;ARACRUZ;GASOLINA ADITIVADA;03/01/22;6,779
SE;ES;ARACRUZ;GASOLINA;03/01/22;6,77
SE;ES;ARACRUZ;ETANOL;03/01/22;5,79
SE;ES;ARACRUZ;GASOLINA ADITIVADA;03/01/22;6,87
SE;ES;LINHARES;GASOLINA;03/01/22;6,89
SE;ES;LINHARES;GASOLINA ADITIVADA;03/01/22;6,99
SE;ES;LINHARES;GASOLINA;03/01/22;6,79
SE;ES;LINHARES;ETANOL;03/01/22;5,99
SE;ES;LINHARES;GASOLINA ADITIVADA;03/01/22;6,89
SE;ES;LINHARES;GASOLINA;03/01/22;6,89
SE;ES;LINHARES;ETANOL;03/01/22;6,39
SE;ES;LINHARES;GASOLINA ADITIVADA;03/01/22;6,99
SE;ES;SERRA;GASOLINA;03/01/22;6,529
SE;ES;SERRA;ETANOL;03/01/22;5,699
SE;ES;SERRA;GASOLINA ADITIVADA;03/01/22;6,599
SE;ES;SERRA;GASOLINA;03/01/22;6,59
SE;ES;SERRA;GASOLINA ADITIVADA;03/01/22;6,69
N;TO;ARAGUAINA;GASOLINA;03/01/22;6,899
N;TO;ARAGUAINA;ETANOL;03/01/22;5,899
N;TO;ARAGUAINA;GASOLINA ADITIVADA;03/01/22;6,999
N;TO;ARAGUAINA;GASOLINA;03/01/22;6,94
N;TO;ARAGUAINA;ETANOL;03/01/22;5,95
N;TO;ARAGUAINA;GASOLINA ADITIVADA;03/01/22;6,96
CO;GO;CALDAS NOVAS;GASOLINA;03/01/22;6,97
CO;GO;CALDAS NOVAS;ETANOL;03/01/22;5,07
